id,host_id,latitude,longitude,price,minimum_nights,calculated_host_listings_count,accommodates,bedrooms,bathrooms,beds,security_deposit,cleaning_fee,extra_people,maximum_nights,availability_30,amenities_number,neighbourhood_Bijlmer-Centrum,neighbourhood_Bijlmer-Oost,neighbourhood_Bos en Lommer,neighbourhood_Buitenveldert - Zuidas,neighbourhood_Centrum-Oost,neighbourhood_Centrum-West,neighbourhood_De Aker - Nieuw Sloten,neighbourhood_De Baarsjes - Oud-West,neighbourhood_De Pijp - Rivierenbuurt,neighbourhood_Gaasperdam - Driemond,neighbourhood_Geuzenveld - Slotermeer,neighbourhood_IJburg - Zeeburgereiland,neighbourhood_Noord-Oost,neighbourhood_Noord-West,neighbourhood_Oostelijk Havengebied - Indische Buurt,neighbourhood_Osdorp,neighbourhood_Oud-Noord,neighbourhood_Oud-Oost,neighbourhood_Slotervaart,neighbourhood_Watergraafsmeer,neighbourhood_Westerpark,neighbourhood_Zuid,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_Apartment,property_type_House,property_type_Other,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_60
118117,596513,52.368883436047646,4.8695483308640055,87,3,1,2,1.0,1.0,1.0,0.0,25.0,0.0,1124,11,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
120872,607597,52.38193171534977,4.855407320845144,99,2,2,4,1.0,1.0,3.0,0.0,40.0,25.0,21,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
125425,623749,52.360974573916025,4.927611460157401,100,3,1,2,1.0,1.0,1.0,0.0,0.0,10.0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
130390,642044,52.35516967099702,4.8896934048978045,80,2,1,2,1.0,1.0,1.0,0.0,30.0,0.0,730,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
137026,670266,52.353609063743974,4.90562103218313,259,3,1,4,3.0,2.5,3.0,250.0,50.0,20.0,360,3,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
141708,689016,52.36460689704278,4.938920082534415,98,3,1,3,2.0,1.0,2.0,100.0,0.0,22.0,30,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
147270,711896,52.30617481870509,4.978865897717476,35,90,3,4,1.0,1.0,2.0,0.0,0.0,20.0,115,26,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
148132,715549,52.36859520946438,4.864870318764639,52,2,1,2,1.0,1.0,1.0,0.0,0.0,0.0,7,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
150634,725727,52.36673740948232,4.867455513006409,100,2,1,4,1.0,1.0,2.0,200.0,40.0,24.0,100,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
152280,732783,52.37961371756432,4.854432292549278,89,1,1,2,1.0,1.0,1.0,100.0,19.0,0.0,21,2,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
156815,753530,52.388922811024294,4.9402426395904735,695,2,1,4,4.0,4.0,4.0,400.0,100.0,0.0,365,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
162467,776296,52.363675893649386,4.855056296869676,145,3,1,2,1.0,1.0,1.0,0.0,30.0,0.0,21,4,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
165833,790547,52.3733601256194,4.857537320392232,74,2,1,4,2.0,1.0,3.0,200.0,50.0,15.0,5,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
168769,436145,52.37915713158128,4.894086123937185,120,2,5,2,1.0,1.0,1.0,0.0,0.0,20.0,1124,25,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
169356,806976,52.381717144651354,4.883104127485947,220,7,1,2,1.0,1.0,1.0,400.0,50.0,25.0,20,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
170223,811403,52.36991235190708,4.882654520401399,145,3,1,2,1.0,1.5,1.0,300.0,60.0,0.0,30,1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
171054,815989,52.36916386503589,4.86643475054097,120,6,1,3,2.0,1.0,3.0,100.0,0.0,20.0,12,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
171631,818479,52.36338791622051,4.8540234832459435,89,3,1,4,3.0,1.0,3.0,250.0,94.0,49.0,10,3,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
